site_id,northing,easting,dataset
582,202834.925,455316.2189,agi
583,202829.65,455761.5771,agi
584,202934.05,455545.0766,agi
585,202939.38,455886.0121,agi
586,204686.285,454956.8031,agi
587,204735.76,454700.4736,agi
588,204768.935,455226.9208,agi
589,204901.65,455232.3446,agi
590,205218.705,455182.7733,agi
591,205247.135,455038.3756,agi
592,205155.2038,455736.4691,agi
593,205573.77,455586.0425,agi
594,205871.3641,454762.65,agi
595,206875.235,455346.7642,agi
596,206933.565,455176.5359,agi
597,206960.86,455344.0708,agi
598,207121.1265,455179.7588,agi
599,207184.53,455713.3138,agi
600,207228.275,456134.4377,agi
601,207342.29,455908.4792,agi
602,207372.09,454744.9275,agi
603,207476.41,455166.3378,agi
604,207541.04,456063.2654,agi
605,207566.025,455634.1186,agi
606,207621.21,456600.056,agi
607,207632.54,454471.4197,agi
608,207854.96,455228.6557,agi
609,208079.275,455366.8159,agi
610,208206.595,454816.7705,agi
611,208221.81,454865.0571,agi
612,206622.1,452044.7415,agi
613,207272.085,452933.5675,agi
614,207343.65,451559.5676,agi
615,207528.88,453714.2452,agi
616,207715.725,452623.0557,agi
617,207831.6,453964.1884,agi
618,207987.6,454068.643,agi
619,208138.67,453583.1689,agi
620,208222.325,454075.2367,agi
621,208387.225,452744.3924,agi
622,208161.75,451204.6274,agi
623,208407.965,450233.1375,agi
624,208483.875,450382.4621,agi
625,208505.1458,449382.0412,agi
626,208962.58,451129.0192,agi
627,209169.05,450510.4946,agi
628,209258.78,450839.8747,agi
629,209667.5026,448869.4817,agi
630,209711.8249,449074.6036,agi
631,209737.1227,449491.7135,agi
632,209834.0498,448503.7901,agi
633,209993.75,448764.8293,agi
634,208439.195,453017.8973,agi
635,208483.11,454134.0769,agi
636,208710.505,452679.9745,agi
637,208773.875,453000.88,agi
638,208881.38,452712.293,agi
639,208996.6,452446.7855,agi
640,209855.475,449677.4507,agi
641,209968.7994,449342.4935,agi
642,209997.09,451326.5836,agi
643,210356.56,451010.9766,agi
644,210437.63,450943.0355,agi
645,210570.25,450128.7496,agi
